prompt_id,prompt,contains_pii,intended_pii,verification_passed,prompt_category,role_context,grade_level_context,pii_findings,pii_count,unique_pii_types,source_entities,entity_count,prompt_length,generated_timestamp,prompt_number
ad3b1b9d-e156-40e9-ac06-3d73b84e2f11,Review Standardized Tests scores for Ronald Villarreal: 84%,True,True,True,Educational Professional Query with PII,Vice Principal,College Undergraduate,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Review Standardized"", ""start_index"": 0, ""end_index"": 19}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Tests scores"", ""start_index"": 20, ""end_index"": 32}, {""pii_type"": ""PERSON_NAME"", ""value"": ""for Ronald"", ""start_index"": 33, ""end_index"": 43}]",3,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Review Standardized"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Tests scores"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""for Ronald"", ""context"": ""educational_participant""}]",3,59,2025-08-01T10:28:06.965738,1
f98616f5-1b07-4b29-a310-9440f899f213,Review special education legal requirements,True,False,False,Educational Professional Query without PII,Academic Advisor,Graduate,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Review special"", ""start_index"": 0, ""end_index"": 14}, {""pii_type"": ""PERSON_NAME"", ""value"": ""education legal"", ""start_index"": 15, ""end_index"": 30}]",2,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Review special"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""education legal"", ""context"": ""educational_participant""}]",2,43,2025-08-01T10:28:07.369438,2
aaf91531-0200-41f0-8768-a84fa76afde6,Schedule speech therapy session for Cheryl Davis with Krista Williams,True,True,True,Educational Professional Query with PII,Special Education Coordinator,Middle School (6-8),"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Schedule speech"", ""start_index"": 0, ""end_index"": 15}, {""pii_type"": ""PERSON_NAME"", ""value"": ""therapy session"", ""start_index"": 16, ""end_index"": 31}, {""pii_type"": ""PERSON_NAME"", ""value"": ""for Cheryl"", ""start_index"": 32, ""end_index"": 42}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Davis with"", ""start_index"": 43, ""end_index"": 53}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Krista Williams"", ""start_index"": 54, ""end_index"": 69}]",5,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Schedule speech"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""therapy session"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""for Cheryl"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Davis with"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Krista Williams"", ""context"": ""educational_participant""}]",5,69,2025-08-01T10:28:06.850780,3
3ee53a20-b7e4-490d-900e-07860aa3ac8a,Implement new student information system,True,False,False,Educational Professional Query without PII,Special Education Coordinator,Middle School (6-8),"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Implement new"", ""start_index"": 0, ""end_index"": 13}, {""pii_type"": ""PERSON_NAME"", ""value"": ""student information"", ""start_index"": 14, ""end_index"": 33}]",2,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Implement new"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""student information"", ""context"": ""educational_participant""}]",2,40,2025-08-01T10:28:07.368751,4
991f2102-34aa-48d4-bf3d-2b89a37afc5c,Enroll Kimberly Lara in Art for Spring semester,True,True,True,Educational Professional Query with PII,Academic Advisor,Middle School (6-8),"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Enroll Kimberly"", ""start_index"": 0, ""end_index"": 15}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Lara in"", ""start_index"": 16, ""end_index"": 23}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Art for"", ""start_index"": 24, ""end_index"": 31}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Spring semester"", ""start_index"": 32, ""end_index"": 47}, {""pii_type"": ""SEMESTER"", ""value"": ""Spring"", ""start_index"": 32, ""end_index"": 38}]",5,"SEMESTER, PERSON_NAME","[{""entity_type"": ""person"", ""entity_value"": ""Enroll Kimberly"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Lara in"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Art for"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Spring semester"", ""context"": ""educational_participant""}]",4,47,2025-08-01T10:28:06.996827,5
0b3843fb-552b-45f0-b947-98f2e37d9fd7,Plan college readiness workshops for families,True,False,False,Educational Professional Query without PII,Vice Principal,Graduate,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Plan college"", ""start_index"": 0, ""end_index"": 12}, {""pii_type"": ""PERSON_NAME"", ""value"": ""readiness workshops"", ""start_index"": 13, ""end_index"": 32}, {""pii_type"": ""PERSON_NAME"", ""value"": ""for families"", ""start_index"": 33, ""end_index"": 45}]",3,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Plan college"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""readiness workshops"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""for families"", ""context"": ""educational_participant""}]",3,45,2025-08-01T10:28:07.360772,6
f5cc1dfb-fe07-49f9-8985-b1e583e90210,Assign Haley Silva to Gifted Program program based on GPA of 2.93,True,True,True,Educational Professional Query with PII,Academic Advisor,College Undergraduate,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Assign Haley"", ""start_index"": 0, ""end_index"": 12}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Silva to"", ""start_index"": 13, ""end_index"": 21}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Gifted Program"", ""start_index"": 22, ""end_index"": 36}, {""pii_type"": ""PERSON_NAME"", ""value"": ""program based"", ""start_index"": 37, ""end_index"": 50}, {""pii_type"": ""PERSON_NAME"", ""value"": ""on GPA"", ""start_index"": 51, ""end_index"": 57}, {""pii_type"": ""GPA"", ""value"": ""2.93"", ""start_index"": 61, ""end_index"": 65}]",6,"GPA, PERSON_NAME","[{""entity_type"": ""person"", ""entity_value"": ""Assign Haley"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Silva to"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Gifted Program"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""program based"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""on GPA"", ""context"": ""educational_participant""}]",5,65,2025-08-01T10:28:07.279546,7
3bd27fd4-4cdd-48a7-998b-d42219a1cdc1,Coordinate transportation routes for efficiency,True,False,False,Educational Professional Query without PII,Counselor,High School (9-12),"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Coordinate transportation"", ""start_index"": 0, ""end_index"": 25}, {""pii_type"": ""PERSON_NAME"", ""value"": ""routes for"", ""start_index"": 26, ""end_index"": 36}]",2,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Coordinate transportation"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""routes for"", ""context"": ""educational_participant""}]",2,47,2025-08-01T10:28:07.373055,8
fa3dddc0-fcf8-4fa1-a8c1-cd6e70e34adf,Create dashboard for tracking student progress indicators,True,False,False,Educational Professional Query without PII,Vice Principal,Elementary (K-5),"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Create dashboard"", ""start_index"": 0, ""end_index"": 16}, {""pii_type"": ""PERSON_NAME"", ""value"": ""for tracking"", ""start_index"": 17, ""end_index"": 29}, {""pii_type"": ""PERSON_NAME"", ""value"": ""student progress"", ""start_index"": 30, ""end_index"": 46}]",3,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Create dashboard"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""for tracking"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""student progress"", ""context"": ""educational_participant""}]",3,57,2025-08-01T10:28:07.366206,9
6f669013-869d-4cb7-b7f5-155a039d08d0,Process grade change request for Dawn Cruz in AP English,True,True,True,Educational Professional Query with PII,Vice Principal,Elementary (K-5),"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Process grade"", ""start_index"": 0, ""end_index"": 13}, {""pii_type"": ""PERSON_NAME"", ""value"": ""change request"", ""start_index"": 14, ""end_index"": 28}, {""pii_type"": ""PERSON_NAME"", ""value"": ""for Dawn"", ""start_index"": 29, ""end_index"": 37}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Cruz in"", ""start_index"": 38, ""end_index"": 45}, {""pii_type"": ""PERSON_NAME"", ""value"": ""AP English"", ""start_index"": 46, ""end_index"": 56}]",5,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Process grade"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""change request"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""for Dawn"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Cruz in"", ""context"": ""educational_participant""}, {""entity_type"": ""person"", ""entity_value"": ""AP English"", ""context"": ""educational_participant""}]",5,56,2025-08-01T10:28:06.920319,10
