prompt_id,prompt,contains_pii,intended_pii,verification_passed,prompt_category,role_context,practice_area_context,pii_findings,pii_count,unique_pii_types,source_entities,entity_count,prompt_length,generated_timestamp,prompt_number
5cbf3d01-9140-430f-8f49-7e7ece398ee9,How do we handle client confidentiality in team cases?,True,False,False,Legal Professional Query without PII,Paralegal,Environmental Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""How do"", ""start_index"": 0, ""end_index"": 6}, {""pii_type"": ""PERSON_NAME"", ""value"": ""we handle"", ""start_index"": 7, ""end_index"": 16}, {""pii_type"": ""PERSON_NAME"", ""value"": ""client confidentiality"", ""start_index"": 17, ""end_index"": 39}, {""pii_type"": ""PERSON_NAME"", ""value"": ""in team"", ""start_index"": 40, ""end_index"": 47}]",4,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""How do"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""we handle"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""client confidentiality"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""in team"", ""context"": ""legal_participant""}]",4,54,2025-08-01T10:12:29.911134,1
9ab158f3-00f3-42d0-b324-9fa986779fb4,Plan continuing education requirements,True,False,False,Legal Professional Query without PII,Litigation Support,Healthcare Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Plan continuing"", ""start_index"": 0, ""end_index"": 15}, {""pii_type"": ""PERSON_NAME"", ""value"": ""education requirements"", ""start_index"": 16, ""end_index"": 38}]",2,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Plan continuing"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""education requirements"", ""context"": ""legal_participant""}]",2,38,2025-08-01T10:12:29.924083,2
6c51dcad-c246-47a3-b417-8bd992e04229,Review budget projections for next quarter,True,False,False,Legal Professional Query without PII,Paralegal,Bankruptcy,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Review budget"", ""start_index"": 0, ""end_index"": 13}, {""pii_type"": ""PERSON_NAME"", ""value"": ""projections for"", ""start_index"": 14, ""end_index"": 29}, {""pii_type"": ""PERSON_NAME"", ""value"": ""next quarter"", ""start_index"": 30, ""end_index"": 42}]",3,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Review budget"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""projections for"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""next quarter"", ""context"": ""legal_participant""}]",3,42,2025-08-01T10:12:29.925448,3
09b6258c-931c-487a-8411-f8dd901189f9,Review performance evaluation procedures,True,False,False,Legal Professional Query without PII,Associate,Corporate Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Review performance"", ""start_index"": 0, ""end_index"": 18}, {""pii_type"": ""PERSON_NAME"", ""value"": ""evaluation procedures"", ""start_index"": 19, ""end_index"": 40}]",2,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Review performance"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""evaluation procedures"", ""context"": ""legal_participant""}]",2,40,2025-08-01T10:12:29.915571,4
0eb2858f-9347-4486-aa44-da8817f85f5b,Review billing dispute for case CV-2022-3249,True,True,True,Legal Professional Query with PII,Legal Assistant,Immigration,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Review billing"", ""start_index"": 0, ""end_index"": 14}, {""pii_type"": ""PERSON_NAME"", ""value"": ""dispute for"", ""start_index"": 15, ""end_index"": 26}, {""pii_type"": ""PERSON_NAME"", ""value"": ""case CV"", ""start_index"": 27, ""end_index"": 34}, {""pii_type"": ""CASE_NUMBER"", ""value"": ""CV-2022-3249"", ""start_index"": 32, ""end_index"": 44}]",4,"PERSON_NAME, CASE_NUMBER","[{""entity_type"": ""person"", ""entity_value"": ""Review billing"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""dispute for"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""case CV"", ""context"": ""legal_participant""}, {""entity_type"": ""case"", ""entity_value"": ""CV-2022-3249"", ""context"": ""legal_case""}]",4,44,2025-08-01T10:12:29.705574,5
92fcbafc-4501-4390-b249-c3c8a18e1a64,Review conflict check between Justin Cook and Teresa Weeks,True,True,True,Legal Professional Query with PII,Attorney,Real Estate,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Review conflict"", ""start_index"": 0, ""end_index"": 15}, {""pii_type"": ""PERSON_NAME"", ""value"": ""check between"", ""start_index"": 16, ""end_index"": 29}, {""pii_type"": ""PERSON_NAME"", ""value"": ""Justin Cook"", ""start_index"": 30, ""end_index"": 41}, {""pii_type"": ""PERSON_NAME"", ""value"": ""and Teresa"", ""start_index"": 42, ""end_index"": 52}]",4,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Review conflict"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""check between"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""Justin Cook"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""and Teresa"", ""context"": ""legal_participant""}]",4,58,2025-08-01T10:12:29.791495,6
de49531a-3e8b-4467-920c-108eb9645021,Implement new billing code structure,True,False,False,Legal Professional Query without PII,Paralegal,Corporate Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Implement new"", ""start_index"": 0, ""end_index"": 13}, {""pii_type"": ""PERSON_NAME"", ""value"": ""billing code"", ""start_index"": 14, ""end_index"": 26}]",2,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Implement new"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""billing code"", ""context"": ""legal_participant""}]",2,36,2025-08-01T10:12:29.922237,7
637a0e52-1f16-4fde-b793-c642e17e7d37,What are the requirements for pro hac vice admission?,True,False,False,Legal Professional Query without PII,Compliance Officer,Employment Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""What are"", ""start_index"": 0, ""end_index"": 8}, {""pii_type"": ""PERSON_NAME"", ""value"": ""the requirements"", ""start_index"": 9, ""end_index"": 25}, {""pii_type"": ""PERSON_NAME"", ""value"": ""for pro"", ""start_index"": 26, ""end_index"": 33}, {""pii_type"": ""PERSON_NAME"", ""value"": ""hac vice"", ""start_index"": 34, ""end_index"": 42}]",4,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""What are"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""the requirements"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""for pro"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""hac vice"", ""context"": ""legal_participant""}]",4,53,2025-08-01T10:12:29.926852,8
6c9d65d4-f381-4e6b-b88e-b897dc115b32,How should we organize case files for complex litigation?,True,False,False,Legal Professional Query without PII,Partner,Estate Planning,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""How should"", ""start_index"": 0, ""end_index"": 10}, {""pii_type"": ""PERSON_NAME"", ""value"": ""we organize"", ""start_index"": 11, ""end_index"": 22}, {""pii_type"": ""PERSON_NAME"", ""value"": ""case files"", ""start_index"": 23, ""end_index"": 33}, {""pii_type"": ""PERSON_NAME"", ""value"": ""for complex"", ""start_index"": 34, ""end_index"": 45}]",4,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""How should"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""we organize"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""case files"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""for complex"", ""context"": ""legal_participant""}]",4,57,2025-08-01T10:12:29.910600,9
b174b4a5-7f1c-43dc-9e83-b5ce83116d02,Review professional liability policies,True,False,False,Legal Professional Query without PII,Compliance Officer,Family Law,"[{""pii_type"": ""PERSON_NAME"", ""value"": ""Review professional"", ""start_index"": 0, ""end_index"": 19}, {""pii_type"": ""PERSON_NAME"", ""value"": ""liability policies"", ""start_index"": 20, ""end_index"": 38}]",2,PERSON_NAME,"[{""entity_type"": ""person"", ""entity_value"": ""Review professional"", ""context"": ""legal_participant""}, {""entity_type"": ""person"", ""entity_value"": ""liability policies"", ""context"": ""legal_participant""}]",2,38,2025-08-01T10:12:29.921226,10
