prompt_id,prompt,contains_pii,verified_pii,prompt_type,source_patient_id,num_patients,final_index
nopii_0169,How can we improve patient flow in the emergency department?,False,False,without_pii,[],0,1
nopii_0495,What emergency preparedness plans do we need for natural disasters?,False,False,without_pii,[],0,2
nopii_0024,What mobile health applications should we recommend?,False,False,without_pii,[],0,3
nopii_0465,What are the capacity planning needs for the coming year?,False,False,without_pii,[],0,4
nopii_0381,What biomarkers show promise for early disease detection?,False,False,without_pii,[],0,5
nopii_0472,What are the latest treatment protocols for diabetes management?,False,False,without_pii,[],0,6
pii_0322,Verify insurance coverage for Kevin Robinson (Insurance ID: INS-3254503),True,True,with_pii,['1712df48-6c74-4ed4-8578-f4e6332bad05'],1,7
nopii_0055,How should we prioritize capital equipment requests?,False,False,without_pii,[],0,8
pii_0418,Schedule group therapy session for Kaitlyn West (876.818.6870x4796) and Jordan Schultz (773-227-9805),True,True,with_pii,"['0237b7a6-301a-4db9-ac9f-f95f81674d9b', '00b62158-0540-48d7-b99b-747bdca4b19e']",2,9
pii_0196,Assess treatment compliance for Mckenzie Boyer and Andrew Cruz on similar medications,True,True,with_pii,"['27db48c7-8ada-42f2-9b62-f672fdacda87', '34c64309-78b3-4bc1-b3c3-0ff636dfe182']",2,10
pii_0384,Review lab results for Jeffery Berry (MRN: MRN-886609) regarding Paclitaxel treatment,True,True,with_pii,['411920f6-d056-4199-b728-ddc20f5e8b47'],1,11
pii_0008,Schedule a follow-up appointment for Mark Whitaker (Phone: +1-682-852-1288x66905) in Radiology,True,True,with_pii,['d32d9358-ab50-4c94-a2d2-c137bed6bb8f'],1,12
nopii_0370,What preventive care services should we offer in the community?,False,False,without_pii,[],0,13
pii_0039,Review similar cases: Shannon Cook (Age: 64) and Christian Young (Age: 61) both with F32.9,True,True,with_pii,"['4282b6e4-6986-405a-9da3-f9cf4ed0730d', '0d28f5e4-f373-457b-bbbf-ec61e3447f1d']",2,14
nopii_0327,Create educational materials for patient medication compliance,False,False,without_pii,[],0,15
nopii_0231,What equipment maintenance schedules should we follow?,False,False,without_pii,[],0,16
pii_0309,Pull the medical history for patient Duane Warren (SSN: 852-62-5627),True,True,with_pii,['05ba6c45-d50a-4423-86d9-d7fa9c08de1b'],1,17
nopii_0078,Review options for automated medication dispensing systems,False,False,without_pii,[],0,18
nopii_0484,How should we respond to seasonal flu outbreaks?,False,False,without_pii,[],0,19
nopii_0002,What cybersecurity measures are needed for patient data?,False,False,without_pii,[],0,20
pii_0056,"Process billing for Katie Aguirre (Insurance: UnitedHealthcare, ID: INS-5916304)",True,True,with_pii,['33decf96-2bd6-40fb-ae3c-8687b704eced'],1,21
pii_0373,Verify prescription for Susan Anderson (MRN: MRN-484087): Diclofenac,True,True,with_pii,['647a96e9-1a2d-4d7a-bac4-32f83db8014a'],1,22
pii_0284,Emergency admission for Carl Harvey (Blood Type: B-) to Endocrinology,True,True,with_pii,['5763c5c0-1934-449c-81b6-69c67f6c945f'],1,23
pii_0062,Schedule group therapy session for Vickie Mueller (947-446-9117x08702) and Mason Anderson (+1-911-805-5624x1266),True,True,with_pii,"['af8e966f-7bbb-48e1-956b-5afe4c8281db', 'bcaf6e87-a8b7-44dc-bb8f-e79977785ab1']",2,24
nopii_0448,What biomarkers show promise for early disease detection?,False,False,without_pii,[],0,25
nopii_0255,What infection control measures are mandated by state health department?,False,False,without_pii,[],0,26
pii_0305,Document patient satisfaction for Tanya Good (Email: tgood@icloud.com),True,True,with_pii,['0a83a23a-4a5c-4385-b63b-7fc8683fb175'],1,27
nopii_0294,Review options for automated medication dispensing systems,False,False,without_pii,[],0,28
nopii_0434,Develop training modules for new nursing staff orientation,False,False,without_pii,[],0,29
nopii_0346,What clinical trials are currently recruiting participants?,False,False,without_pii,[],0,30
pii_0317,Send appointment reminders to Taylor Welch (twelch@yahoo.com) and Raymond Smith (raymonds@outlook.com),True,True,with_pii,"['692e07b6-0b2f-4d5c-b00b-5d5fb89f72f3', 'beef6c30-e6b5-40f5-ae73-e215dd9101be']",2,31
pii_0086,Create referral letter for Jennifer Curtis to Pulmonology specialist,True,True,with_pii,['b44e282d-9328-48cb-9da0-c87485691519'],1,32
pii_0025,Send consultation request to Dr. Dr. Steven Gibson for patient Diamond Mueller,True,True,with_pii,['6f7f6354-372f-4fb6-841b-4c79c0146804'],1,33
nopii_0233,What are the current HIPAA privacy requirements?,False,False,without_pii,[],0,34
nopii_0431,What cybersecurity measures are needed for patient data?,False,False,without_pii,[],0,35
pii_0491,Contact emergency contacts: Laurie Duarte for Joseph Bush and David Carpenter for Jessica Williamson,True,True,with_pii,"['f4f4666e-0854-44f6-8942-d7ecfe7060e8', '689998d6-4e44-4af9-b106-c45a71f6aee9']",2,36
nopii_0446,What biomarkers show promise for early disease detection?,False,False,without_pii,[],0,37
pii_0101,Schedule a follow-up appointment for Brenda Watson (Phone: +1-950-426-7551x2542) in Neurology,True,True,with_pii,['f860b58f-bd8c-432e-ab7d-09b27d01d706'],1,38
pii_0303,"Analyze demographics: Julie Underwood (Age: 86, Asian) vs Charles Page (Age: 57, African American)",True,True,with_pii,"['33fc0e5f-9c9b-443f-965d-8c8d7728e710', 'f123167e-596a-4b36-b2d7-cc222a1eda7b']",2,39
pii_0495,Send appointment reminders to Tammy Palmer (tammy34@hotmail.com) and Evan Wilson (evanwilson@hotmail.com),True,True,with_pii,"['889654b2-ce92-4059-95ab-7cd271b905c8', 'eee31d47-10ec-46ae-95dd-df38fc9454ae']",2,40
